ID_CLIENTE,ANTIGUEDAD_MESES,TIPO_TARJETA,LINEA_CREDITO,RNG_LINEA,DEUDA_TARJETA,SEGMENTO_BANCO,AMBITO,ZONA,EDAD,SEXO,ECIVIL,Total_facturacion,Num_compras
C0000395,R4. [24-MAS>,ORO,10600,12000,2149.68,SEGMENTO PLATA,L,CENTRO,46,F,CASADO,2545.3,3
C0000398,R4. [24-MAS>,CLASICA,3000,4000,0,SEGMENTO BRONCE,L,MODERNA,52,M,CASADO,1005.35,3
C0000401,R4. [24-MAS>,PLATINUM,15000,16000,0,SEGMENTO PLATA,L,MODERNA,,M,CASADO,1132.52,2
C0000403,R4. [24-MAS>,CLASICA,17700,18000,185.16,SEGMENTO PLATA,P,PROVINCIA,40,M,SOLTERO,1438.9,3
C0000404,R4. [24-MAS>,ORO,32400,34000,233.03,SEGMENTO PLATA,L,MODERNA,54,F,CASADO,9813.67,10
C0000405,R4. [24-MAS>,ORO,15000,16000,8543.51,SEGMENTO PLATA,L,MODERNA,39,F,SOLTERO,3782.28,2
C0000409,R4. [24-MAS>,CLASICA,2700,4000,2614.87,SEGMENTO ORO,L,CENTRO,36,F,SOLTERO,1855.61,12
C0000412,R4. [24-MAS>,CLASICA,9600,10000,-0.64,SEGMENTO PLATA,L,NORTE,35,M,SOLTERO,874.45,4
C0000417,R4. [24-MAS>,ORO,16000,16000,-0.04,SEGMENTO PLATA,L,MODERNA,56,F,DIVORCIADO,80,1
C0000419,R4. [24-MAS>,CLASICA,4000,4000,3675.85,SEGMENTO ORO,P,PROVINCIA,32,M,SOLTERO,1395.98,7
C0000422,R4. [24-MAS>,ORO,10000,10000,10350.84,SEGMENTO PLATA,L,MODERNA,,M,CASADO,1827.78,5
C0000425,R4. [24-MAS>,ORO,19250,20000,2874.66,SEGMENTO PLATA,L,MODERNA,,M,DIVORCIADO,4747.92,21
C0000428,R4. [24-MAS>,PLATINUM,30000,30000,1119.9,SEGMENTO PLATA,L,MODERNA,,F,SOLTERO,3943.55,16
C0000430,R4. [24-MAS>,ORO,2500,4000,2275.44,SEGMENTO PLATA,L,MODERNA,,M,CASADO,2297.2,5
C0000431,R4. [24-MAS>,ORO,8400,10000,1462.37,SEGMENTO PLATA,L,MODERNA,38,M,CASADO,225.18,3
C0000432,R4. [24-MAS>,ORO,4500,6000,1839.46,SEGMENTO ORO,L,ESTE,66,M,CASADO,140.16,6
C0000435,R4. [24-MAS>,ORO,12000,12000,11388.11,SEGMENTO PLATA,L,ESTE,33,M,SOLTERO,2357.9,17
C0000437,R3. [12-24 M>,ORO,26500,28000,0,SEGMENTO PLATA,L,MODERNA,57,F,CASADO,720,1
C0000440,R3. [12-24 M>,CLASICA,2250,4000,2408.24,SEGMENTO PLATA,L,MODERNA,41,M,CASADO,1861.56,16
C0000441,R3. [12-24 M>,PLATINUM,15000,16000,-13.67,SEGMENTO ORO,L,ESTE,34,M,CASADO,2799,1
C0000442,R3. [12-24 M>,ORO,10000,10000,0,SEGMENTO ORO,L,MODERNA,36,M,CASADO,5789.86,4
C0000443,R3. [12-24 M>,ORO,4000,4000,3549.35,SEGMENTO ORO,L,MODERNA,52,F,SOLTERO,1577.14,13
C0000446,R2. [6-12 M>,ORO,39850,40000,48.11,SEGMENTO BRONCE,L,NORTE,,M,CASADO,740.8,6
C0000447,R3. [12-24 M>,PLATINUM,17750,18000,13722.81,SEGMENTO ORO,L,MODERNA,59,M,CASADO,11609.71,15
C0000448,R2. [6-12 M>,PLATINUM,12500,14000,-2.62,SEGMENTO PLATA,L,MODERNA,26,F,SOLTERO,11451.24,23
C0000449,R2. [6-12 M>,ORO,3000,4000,1416.44,SEGMENTO PLATA,L,MODERNA,34,M,SOLTERO,2913.05,23
C0000455,R1. <0-6 M>,ORO,3000,4000,610.79,SEGMENTO ORO,L,MODERNA,46,F,DIVORCIADO,1949.29,3
C0000456,R1. <0-6 M>,PLATINUM,10000,10000,1069.82,SEGMENTO PLATA,L,MODERNA,34,M,CASADO,1069.82,1
C0000458,R1. <0-6 M>,CLASICA,1500,2000,1189.49,SEGMENTO PLATA,L,MODERNA,30,M,SOLTERO,3132.83,31
C0000459,R4. [24-MAS>,CLASICA,9000,10000,1418.33,SEGMENTO PLATA,L,MODERNA,42,F,CASADO,2966.8,14
C0000460,R4. [24-MAS>,CLASICA,3750,4000,1993.23,SEGMENTO PLATA,L,CENTRO,47,M,SOLTERO,2820.82,20
C0000461,R4. [24-MAS>,CLASICA,9360,10000,3340.62,SEGMENTO PLATA,L,MODERNA,49,M,SOLTERO,4055.98,20
C0000463,R4. [24-MAS>,CLASICA,6000,6000,4065.27,SEGMENTO ORO,L,ESTE,45,F,SOLTERO,3702.9,3
C0000464,R4. [24-MAS>,CLASICA,6480,8000,5584.4,SEGMENTO ORO,L,NORTE,58,M,DIVORCIADO,190,4
C0000465,R4. [24-MAS>,ORO,30000,30000,11367.28,SEGMENTO PLATA,L,MODERNA,,M,CASADO,1177.5,6
C0000466,R4. [24-MAS>,ORO,23400,24000,88.23,SEGMENTO ORO,L,CENTRO,,M,CASADO,181.65,7
C0000467,R4. [24-MAS>,CLASICA,18250,20000,-1.12,SEGMENTO ORO,L,MODERNA,,M,CASADO,418.02,2
C0000468,R4. [24-MAS>,CLASICA,1500,2000,775,SEGMENTO PLATA,L,MODERNA,,M,CASADO,775,4
C0000469,R4. [24-MAS>,ORO,10900,12000,10486.47,SEGMENTO ORO,L,MODERNA,39,F,SOLTERO,1889.25,14
C0000470,R4. [24-MAS>,CLASICA,3000,4000,2469.94,SEGMENTO PLATA,L,SUR,38,M,CASADO,1967.65,25
C0000472,R4. [24-MAS>,ORO,5000,6000,3074.36,SEGMENTO PLATA,L,CENTRO,47,M,SOLTERO,5187.74,12
C0000473,R4. [24-MAS>,CLASICA,1500,2000,683.02,SEGMENTO PLATA,L,NORTE,42,F,SOLTERO,825.94,5
C0000477,R4. [24-MAS>,ORO,4800,6000,744.93,SEGMENTO ORO,L,NORTE,58,M,CASADO,652.54,1
C0000478,R4. [24-MAS>,CLASICA,12500,14000,0,SEGMENTO ORO,L,CENTRO,44,M,CASADO,203,1
C0000479,R4. [24-MAS>,CLASICA,1900,2000,547.4,SEGMENTO PLATA,L,MODERNA,31,M,SOLTERO,3287.75,17
C0000480,R4. [24-MAS>,ORO,18750,20000,-15.59,SEGMENTO PLATA,L,MODERNA,49,M,SOLTERO,190,1
C0000483,R4. [24-MAS>,ORO,8000,8000,165.19,SEGMENTO PLATA,L,MODERNA,35,M,SOLTERO,3331.43,9
C0000485,R4. [24-MAS>,CLASICA,2400,4000,2673.11,SEGMENTO PLATA,L,CENTRO,23,M,SOLTERO,633.5,6
C0000486,R4. [24-MAS>,ORO,4000,4000,3931.01,SEGMENTO BRONCE,L,MODERNA,34,M,SOLTERO,3100,3
C0000488,R4. [24-MAS>,ORO,5000,6000,429.24,SEGMENTO PLATA,L,CENTRO,55,F,SOLTERO,519.6,1
C0000490,R4. [24-MAS>,ORO,4000,4000,1915.75,SEGMENTO ORO,L,MODERNA,40,M,SOLTERO,524.66,10
C0000493,R3. [12-24 M>,CLASICA,800,2000,76.06,SEGMENTO BRONCE,L,ESTE,36,M,SOLTERO,149,1
C0000494,R3. [12-24 M>,PLATINUM,13000,14000,3511.97,SEGMENTO BRONCE,L,MODERNA,27,F,SOLTERO,6064.58,8
C0000495,R3. [12-24 M>,PLATINUM,25400,26000,0,SEGMENTO PLATA,L,CENTRO,33,M,SOLTERO,389.13,1
C0000496,R3. [12-24 M>,CLASICA,800,2000,878.16,SEGMENTO BRONCE,L,MODERNA,31,M,SOLTERO,275.8,20
C0000497,R2. [6-12 M>,ORO,3000,4000,0,SEGMENTO PLATA,L,CENTRO,22,F,SOLTERO,2988.97,5
C0000500,R1. <0-6 M>,PLATINUM,10000,10000,937.11,SEGMENTO ORO,L,CENTRO,73,M,CASADO,947.11,5
C0000503,R4. [24-MAS>,CLASICA,18000,18000,4851.97,SEGMENTO PLATA,L,NORTE,53,F,SOLTERO,3059.3,13
C0000504,R4. [24-MAS>,CLASICA,2370,4000,2424.19,SEGMENTO ORO,L,CENTRO,42,M,CASADO,528.9,11
C0000505,R4. [24-MAS>,CLASICA,4750,6000,2715.03,SEGMENTO ORO,L,MODERNA,40,M,CASADO,3455.39,10
